objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
290;20141;5;43;TIBALDI;9.185481897359073;45.443709511310274;(45.443709511310274, 9.185481897359073)
2175;20124;9;11;ISOLA;9.190933720437195;45.489140323481735;(45.489140323481735, 9.190933720437195)
352;20159;9;12;MACIACHINI - MAGGIOLINA;9.189523598270737;45.50088752527245;(45.50088752527245, 9.189523598270737)
38;20141;5;38;VIGENTINO - Q.RE FATIMA;9.197393091831637;45.43481434507393;(45.43481434507393, 9.197393091831637)
33;20135;5;27;PTA ROMANA;9.197887492032011;45.448528483046736;(45.448528483046736, 9.197887492032011)
102;20122;1;1;DUOMO;9.192938817852875;45.45944399011965;(45.45944399011965, 9.192938817852875)
382;20123;1;1;DUOMO;9.192403723103537;45.464582826769345;(45.464582826769345, 9.192403723103537)
4168;20124;9;11;ISOLA;9.1929179569339;45.4855276356581;(45.4855276356581, 9.1929179569339)
140;20125;2;12;MACIACHINI - MAGGIOLINA;9.197933772987192;45.49580061996733;(45.49580061996733, 9.197933772987192)
18306;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.196724812771702;45.515067337430004;(45.515067337430004, 9.196724812771702)
3368;20141;5;38;VIGENTINO - Q.RE FATIMA;9.201423457748607;45.43156540665279;(45.43156540665279, 9.201423457748607)
4183;20125;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.203951001686647;45.484527770254985;(45.484527770254985, 9.203951001686647)
358;20125;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.202767587127106;45.485108502008195;(45.485108502008195, 9.202767587127106)
4198;20125;2;12;MACIACHINI - MAGGIOLINA;9.200539094513223;45.49327378715718;(45.49327378715718, 9.200539094513223)
2163;20125;2;12;MACIACHINI - MAGGIOLINA;9.199959873536951;45.49857410376789;(45.49857410376789, 9.199959873536951)
4250;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19971745113246;45.505612368788555;(45.505612368788555, 9.19971745113246)
3392;20139;5;36;SCALO ROMANA;9.209170792583274;45.43840858092532;(45.43840858092532, 9.209170792583274)
4211;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.214557078978466;45.44699102604398;(45.44699102604398, 9.214557078978466)
179;20129;4;26;XXII MARZO;9.211983830508554;45.46242215989506;(45.46242215989506, 9.211983830508554)
534;20129;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.214879860969441;45.48093834508563;(45.48093834508563, 9.214879860969441)
4164;20131;2;20;LORETO - CASORETTO - NOLO;9.218038053035002;45.486312156332176;(45.486312156332176, 9.218038053035002)
2166;20127;2;20;LORETO - CASORETTO - NOLO;9.21618841081979;45.493251485564535;(45.493251485564535, 9.21618841081979)
5417;20139;4;35;LODI - CORVETTO;9.223417096096318;45.44490058013783;(45.44490058013783, 9.223417096096318)
178;20129;4;26;XXII MARZO;9.220745130739749;45.462947340624154;(45.462947340624154, 9.220745130739749)
4218;20126;2;16;GORLA - PRECOTTO;9.224601008133737;45.51381708311932;(45.51381708311932, 9.224601008133737)
4224;20139;4;35;LODI - CORVETTO;9.228393177520303;45.444473576309335;(45.444473576309335, 9.228393177520303)
3383;20137;4;29;ORTOMERCATO;9.227823936064864;45.44956254790854;(45.44956254790854, 9.227823936064864)
482;20133;3;22;CITTA' STUDI;9.229683878856575;45.47360149032774;(45.47360149032774, 9.229683878856575)
3437;20133;3;22;CITTA' STUDI;9.225104308124147;45.47824836653595;(45.47824836653595, 9.225104308124147)
4221;20133;3;22;CITTA' STUDI;9.237660630299365;45.47226446539422;(45.47226446539422, 9.237660630299365)
494;20133;3;22;CITTA' STUDI;9.234237067829039;45.480087630152966;(45.480087630152966, 9.234237067829039)
486;20131;3;22;CITTA' STUDI;9.23323244599844;45.48577606218276;(45.48577606218276, 9.23323244599844)
28322;20128;2;16;GORLA - PRECOTTO;9.234033372758953;45.50464135766551;(45.50464135766551, 9.234033372758953)
4200;20138;4;32;TRIULZO SUPERIORE;9.244042894043215;45.43075673058631;(45.43075673058631, 9.244042894043215)
5392;20138;4;33;ROGOREDO - SANTA GIULIA;9.242682308775539;45.438507942401415;(45.438507942401415, 9.242682308775539)
4228;20128;2;17;ADRIANO;9.24034580428872;45.51502087130402;(45.51502087130402, 9.24034580428872)
544;20128;2;17;ADRIANO;9.248176425403896;45.51029849307914;(45.51029849307914, 9.248176425403896)
542;20128;2;17;ADRIANO;9.248397980713495;45.51907027768473;(45.51907027768473, 9.248397980713495)
291;20138;4;32;TRIULZO SUPERIORE;9.251286399899218;45.42740018746535;(45.42740018746535, 9.251286399899218)
5382;20138;4;31;MONLUE' - PONTE LAMBRO;9.26283279861634;45.44169709769631;(45.44169709769631, 9.26283279861634)
28315;20134;3;24;PARCO FORLANINI - CAVRIANO;9.261667773580017;45.470844270171995;(45.470844270171995, 9.261667773580017)
5408;20152;6;53;LORENTEGGIO;9.10217128921499;45.45024363016446;(45.45024363016446, 9.10217128921499)
5396;20152;6;53;LORENTEGGIO;9.105584949224813;45.45160880755367;(45.45160880755367, 9.105584949224813)
68;20152;7;56;FORZE ARMATE;9.102930773462786;45.4600193366176;(45.4600193366176, 9.102930773462786)
304;20151;8;64;TRENNO;9.101280288656735;45.49186760041309;(45.49186760041309, 9.101280288656735)
8285;20151;8;72;MAGGIORE - MUSOCCO - CERTOSA;9.101844811457044;45.50892087549501;(45.50892087549501, 9.101844811457044)
5828;20151;7;88;PARCO BOSCO IN CITTA';9.107158175148795;45.48779885331103;(45.48779885331103, 9.107158175148795)
4220;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.107254632721927;45.49525577209295;(45.49525577209295, 9.107254632721927)
407;20152;6;49;GIAMBELLINO;9.116232915296385;45.44322345484844;(45.44322345484844, 9.116232915296385)
3411;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.117400505514393;45.49319424494077;(45.49319424494077, 9.117400505514393)
7885;20153;7;60;STADIO - IPPODROMI;9.121124683578058;45.476317841249696;(45.476317841249696, 9.121124683578058)
49;20148;7;60;STADIO - IPPODROMI;9.128510540669081;45.480554336316196;(45.480554336316196, 9.128510540669081)
300;20148;8;66;QT 8;9.13587923238722;45.48620781254763;(45.48620781254763, 9.13587923238722)
367;20148;7;52;BANDE NERE;9.141970406107538;45.467258987948426;(45.467258987948426, 9.141970406107538)
28717;20149;7;57;SAN SIRO;9.144568556512949;45.4704629857824;(45.4704629857824, 9.144568556512949)
42;20148;7;57;SAN SIRO;9.143032232000115;45.472445521221076;(45.472445521221076, 9.143032232000115)
28719;20148;7;57;SAN SIRO;9.140950967540794;45.47765751151636;(45.47765751151636, 9.140950967540794)
5831;20148;8;58;DE ANGELI - MONTE ROSA;9.143218381025424;45.47995647487739;(45.47995647487739, 9.143218381025424)
3418;20142;6;46;BARONA;9.146381950765695;45.4323246479486;(45.4323246479486, 9.146381950765695)
48;20149;7;58;DE ANGELI - MONTE ROSA;9.146447705947605;45.47241494209302;(45.47241494209302, 9.146447705947605)
273;20151;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.14625145930953;45.49181129653095;(45.49181129653095, 9.14625145930953)
5385;20142;6;46;BARONA;9.153194726089211;45.427896857110774;(45.427896857110774, 9.153194726089211)
5844;20142;6;46;BARONA;9.1571942354985;45.433532477079346;(45.433532477079346, 9.1571942354985)
109;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.152997754186938;45.49964759264049;(45.49964759264049, 9.152997754186938)
147;20158;9;77;BOVISA;9.16491716480296;45.5023851956199;(45.5023851956199, 9.16491716480296)
24;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.170449049588067;45.43384090564458;(45.43384090564458, 9.170449049588067)
4219;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.170812049237808;45.430875913482545;(45.430875913482545, 9.170812049237808)
537;20123;1;7;MAGENTA - S. VITTORE;9.168754609062576;45.46919023925781;(45.46919023925781, 9.168754609062576)
5822;20158;9;79;DERGANO;9.171307878569033;45.5043689138373;(45.5043689138373, 9.171307878569033)
4175;20158;9;79;DERGANO;9.17161114231372;45.50612854452096;(45.50612854452096, 9.17161114231372)
127;20161;9;80;AFFORI;9.16999685320909;45.51727182749391;(45.51727182749391, 9.16999685320909)
5397;20161;9;82;COMASINA;9.167413974774272;45.52478564604475;(45.52478564604475, 9.167413974774272)
11;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.172294824262254;45.41659653799173;(45.41659653799173, 9.172294824262254)
402;20144;6;44;PORTA TICINESE - CONCHETTA;9.17358849817604;45.45532604770916;(45.45532604770916, 9.17358849817604)
447;20154;1;8;PARCO SEMPIONE;9.173764559028003;45.474262191466636;(45.474262191466636, 9.173764559028003)
316;20158;9;79;DERGANO;9.177646480738048;45.504194181743365;(45.504194181743365, 9.177646480738048)
4574;20161;9;83;BRUZZANO;9.177555487796065;45.52660021280532;(45.52660021280532, 9.177555487796065)
539;20142;5;40;RONCHETTO DELLE RANE;9.18232880357469;45.4012041485202;(45.4012041485202, 9.18232880357469)
3361;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.179185797072693;45.42304429403183;(45.42304429403183, 9.179185797072693)
2159;20141;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.180979501492814;45.43250092830579;(45.43250092830579, 9.180979501492814)
477;20121;1;1;DUOMO;9.181755448163369;45.46759865470001;(45.46759865470001, 9.181755448163369)
3369;20159;9;78;FARINI;9.179533925352988;45.49668614365606;(45.49668614365606, 9.179533925352988)
317;20161;9;80;AFFORI;9.180806598086184;45.50692785540932;(45.50692785540932, 9.180806598086184)
29126;20136;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.188114308223891;45.449277791375586;(45.449277791375586, 9.188114308223891)
134;20136;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.190615499158977;45.449162626323854;(45.449162626323854, 9.190615499158977)
